Year	Locationabbr	Locationdesc	Class	Topic	Question	Response	Break_Out	Break_Out_Category	Sample_Size	Data_value	Confidence_limit_Low	Confidence_limit_High	Display_order	Data_value_unit	Data_value_type	Data_Value_Footnote_Symbol	Data_Value_Footnote	DataSource	ClassId	TopicId	LocationID	BreakoutID	BreakOutCategoryID	QuestionID	ResponseID	GeoLocation
2014	AL	Alabama	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"2,464"	38.8	37.1	40.4	"1,992"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	1	BO1	CAT1	INCOME	RESP020	"(32.84057112200048, -86.63186076199969)"
2014	AK	Alaska	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"2,290"	55.6	53.4	57.8	"1,987"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	2	BO1	CAT1	INCOME	RESP020	"(64.84507995700051, -147.72205903599973)"
2014	AZ	Arizona	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"5,368"	40.8	39.4	42.2	"1,998"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	4	BO1	CAT1	INCOME	RESP020	"(34.865970280000454, -111.76381127699972)"
2014	AR	Arkansas	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"1,370"	32.9	30.8	35	"1,991"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	5	BO1	CAT1	INCOME	RESP020	"(34.74865012400045, -92.27449074299966)"
2014	CA	California	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"3,641"	44.6	43.1	46	"1,998"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	6	BO1	CAT1	INCOME	RESP020	"(37.63864012300047, -120.99999953799971)"
2014	CO	Colorado	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"6,176"	53	51.9	54.2	"1,995"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	8	BO1	CAT1	INCOME	RESP020	"(38.843840757000464, -106.13361092099967)"
2014	CT	Connecticut	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"3,808"	56.5	54.8	58.2	"1,985"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	9	BO1	CAT1	INCOME	RESP020	"(41.56266102000046, -72.64984095199964)"
2014	DE	Delaware	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"1,661"	48.4	46	50.8	"1,988"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	10	BO1	CAT1	INCOME	RESP020	"(39.008830667000495, -75.57774116799965)"
2014	DC	District of Columbia	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"2,022"	53.7	50.7	56.6	"1,978"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	11	BO1	CAT1	INCOME	RESP020	"(38.89037138500049, -77.03196112699965)"
2014	FL	Florida	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"3,481"	40.1	38.7	41.5	"1,997"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	12	BO1	CAT1	INCOME	RESP020	"(28.932040377000476, -81.92896053899966)"
2014	GA	Georgia	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"2,244"	41.5	39.7	43.3	"1,992"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	13	BO1	CAT1	INCOME	RESP020	"(32.83968109300048, -83.62758034599966)"
2014	HI	Hawaii	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"3,016"	49.1	47.4	50.9	"1,996"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	15	BO1	CAT1	INCOME	RESP020	"(21.304850435000446, -157.85774940299973)"
2014	ID	Idaho	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"1,869"	41.9	39.8	43.9	"1,979"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	16	BO1	CAT1	INCOME	RESP020	"(43.682630005000476, -114.3637300419997)"
2014	IL	Illinois	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"2,451"	48.1	46.2	50	"1,987"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	17	BO1	CAT1	INCOME	RESP020	"(40.48501028300046, -88.99771017799969)"
2014	IN	Indiana	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"4,072"	41.3	40	42.6	"1,993"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	18	BO1	CAT1	INCOME	RESP020	"(39.766910452000445, -86.14996019399968)"
2014	IA	Iowa	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"3,239"	47.7	46.2	49.3	"1,991"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	19	BO1	CAT1	INCOME	RESP020	"(42.46940091300047, -93.81649055599968)"
2014	KS	Kansas	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"5,376"	45.9	44.8	47	"1,999"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	20	BO1	CAT1	INCOME	RESP020	"(38.34774030000045, -98.20078122699965)"
2014	KY	Kentucky	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"3,382"	37.4	35.8	39	"1,994"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	21	BO1	CAT1	INCOME	RESP020	"(37.645970271000465, -84.77497104799966)"
2014	LA	Louisiana	Demographics	Income	What is your annual household income?	"$50,000+"	Overall	Overall	"2,289"	40.8	39.2	42.4	"1,995"	%	Crude Prevalence			BRFSS	CLASS05	Topic33	22	BO1	CAT1	INCOME	RESP020	"(31.31266064400046, -92.44568007099969)"
